R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R13293	pentaprenyl-diphosphate diphosphate-lyase [cyclizing, macrophomene-forming]	C01230	C22895 + C00013	C01230 <=> C22895 + C00013	pentaprenyl-diphosphate diphosphate-lyase [cyclizing, macrophomene-forming]; all-trans-Hexaprenyl diphosphate <=> Macrophomene + Diphosphate	all-trans-Hexaprenyl diphosphate <=> Macrophomene + Diphosphate
R13294	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, phomopsene-formimg)	C00353	C22896 + C00013	C00353 <=> C22896 + C00013	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, phomopsene-formimg); Geranylgeranyl diphosphate <=> Phomopsene + Diphosphate	Geranylgeranyl diphosphate <=> Phomopsene + Diphosphate
R13295	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, bonnadiene-formimg)	C00353	C22897 + C00013	C00353 <=> C22897 + C00013	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, bonnadiene-formimg); Geranylgeranyl diphosphate <=> Bonnadiene + Diphosphate	Geranylgeranyl diphosphate <=> Bonnadiene + Diphosphate
R13296	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, allokutznerene-formimg)	C00353	C22898 + C00013	C00353 <=> C22898 + C00013	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, allokutznerene-formimg); Geranylgeranyl diphosphate <=> Allokutznerene + Diphosphate	Geranylgeranyl diphosphate <=> Allokutznerene + Diphosphate
R13297	alpha-L-rhamnosyl-(1->4)-D-glucuronate lyase	C22899	C00507 + C22712	C22899 <=> C00507 + C22712	alpha-L-rhamnosyl-(1->4)-D-glucuronate lyase; alpha-L-Rhamnosyl-(1->4)-D-glucuronate <=> L-Rhamnose + 4-Deoxy-L-threo-hex-4-enopyranuronate	alpha-L-Rhamnosyl-(1->4)-D-glucuronate <=> L-Rhamnose + 4-Deoxy-L-threo-hex-4-enopyranuronate
R13298	acyl-CoA:phytol O-acyltransferase	C00040 + C01389	C22900 + C00010	C00040 + C01389 <=> C22900 + C00010	acyl-CoA:phytol O-acyltransferase; Acyl-CoA + Phytol <=> Fatty acid phytyl ester + CoA	Acyl-CoA + Phytol <=> Fatty acid phytyl ester + CoA
R13299	succinyl-CoA---cyclohexane-1-carboxylate CoA-transferase	C00091 + C09822	C00042 + C09823	C00091 + C09822 <=> C00042 + C09823	succinyl-CoA---cyclohexane-1-carboxylate CoA-transferase; Succinyl-CoA + Cyclohexane-1-carboxylate <=> Succinate + Cyclohexane-1-carbonyl-CoA	Succinyl-CoA + Cyclohexane-1-carboxylate <=> Succinate + Cyclohexane-1-carbonyl-CoA
R13300	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, cattleyene-formimg)	C00353	C22901 + C00013	C00353 <=> C22901 + C00013	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, cattleyene-formimg); Geranylgeranyl diphosphate <=> Cattleyene + Diphosphate	Geranylgeranyl diphosphate <=> Cattleyene + Diphosphate
R13301	acetyl-CoA:N-hydroxyputrescine N-acetyltransferase	C00024 + C22888	C22902 + C00010	C00024 + C22888 <=> C22902 + C00010	acetyl-CoA:N-hydroxyputrescine N-acetyltransferase; Acetyl-CoA + N-Hydroxyputrescine <=> N1-Acetyl-N1-hydroxyputrescine + CoA	Acetyl-CoA + N-Hydroxyputrescine <=> N1-Acetyl-N1-hydroxyputrescine + CoA
R13302	prenyl-diphosphate:3-methylbut-3-en-1-yl-diphosphate transferase (adding 5 units of 3-methylbut-3-en-1-yl)	C00235 + C00129	C01230 + C00013	C00235 + 5 C00129 <=> C01230 + 5 C00013	prenyl-diphosphate:3-methylbut-3-en-1-yl-diphosphate transferase (adding 5 units of 3-methylbut-3-en-1-yl); Dimethylallyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 5 Diphosphate	Dimethylallyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 5 Diphosphate
R13303	prenyl-diphosphate:hapalindole G prenyltransferase (ambiguine A-forming)	C00235 + C21974	C22903 + C00013	C00235 + C21974 <=> C22903 + C00013	prenyl-diphosphate:hapalindole G prenyltransferase (ambiguine A-forming); Dimethylallyl diphosphate + Hapalindole G <=> Ambiguine A + Diphosphate	Dimethylallyl diphosphate + Hapalindole G <=> Ambiguine A + Diphosphate
R13304	prenyl-diphosphate:hapalindole U prenyltransferase (ambiguine H-forming)	C00235 + C21973	C22905 + C00013	C00235 + C21973 <=> C22905 + C00013	prenyl-diphosphate:hapalindole U prenyltransferase (ambiguine H-forming); Dimethylallyl diphosphate + Hapalindole U <=> Ambiguine H + Diphosphate	Dimethylallyl diphosphate + Hapalindole U <=> Ambiguine H + Diphosphate
R13305	L-arginine:2-oxoglutarate aminotransferase	C00062 + C00026	C03771 + C00025	C00062 + C00026 <=> C03771 + C00025	L-arginine:2-oxoglutarate aminotransferase; L-Arginine + 2-Oxoglutarate <=> 5-Guanidino-2-oxopentanoate + L-Glutamate	L-Arginine + 2-Oxoglutarate <=> 5-Guanidino-2-oxopentanoate + L-Glutamate
R13306	L-aspartate:5-guanidino-3-methyl-2-oxopentanoate aminotransferase	C00049 + C20234	C00036 + C22904	C00049 + C20234 <=> C00036 + C22904	L-aspartate:5-guanidino-3-methyl-2-oxopentanoate aminotransferase; L-Aspartate + (3R)-5-Guanidino-3-methyl-2-oxopentanoate <=> Oxaloacetate + (3R)-3-Methyl-L-arginine	L-Aspartate + (3R)-5-Guanidino-3-methyl-2-oxopentanoate <=> Oxaloacetate + (3R)-3-Methyl-L-arginine
R13307	betaine-CoA hydrolase	C22906 + C00001	C00719 + C00010	C22906 + C00001 <=> C00719 + C00010	betaine-CoA hydrolase; Betaine-CoA + H2O <=> Betaine + CoA	Betaine-CoA + H2O <=> Betaine + CoA
R13308	L-arginine aminodihydrolase (L-ornithine-forming)	C00062 + C00001	C00077 + C00011 + C00014	C00062 + 2 C00001 <=> C00077 + C00011 + 2 C00014	L-arginine aminodihydrolase (L-ornithine-forming); L-Arginine + 2 H2O <=> L-Ornithine + CO2 + 2 Ammonia	L-Arginine + 2 H2O <=> L-Ornithine + CO2 + 2 Ammonia
R13309	(R)-salsolinol dopamine-hydrolase (acetaldehyde-forming)	C22907 + C00001	C03758 + C00084	C22907 + C00001 <=> C03758 + C00084	(R)-salsolinol dopamine-hydrolase (acetaldehyde-forming); (R)-Salsolinol + H2O <=> Dopamine + Acetaldehyde	(R)-Salsolinol + H2O <=> Dopamine + Acetaldehyde
R13310	(2Z,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (+)-2-epi-prezizaene-forming)	C16826	C22908 + C00013	C16826 <=> C22908 + C00013	(2Z,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (+)-2-epi-prezizaene-forming); 2-cis,6-trans-Farnesyl diphosphate <=> (+)-2-epi-Prezizaene + Diphosphate	2-cis,6-trans-Farnesyl diphosphate <=> (+)-2-epi-Prezizaene + Diphosphate
R13311	(2Z,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (-)-alpha-cedrene-forming)	C16826	C22909 + C00013	C16826 <=> C22909 + C00013	(2Z,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (-)-alpha-cedrene-forming); 2-cis,6-trans-Farnesyl diphosphate <=> (-)-alpha-Cedrene + Diphosphate	2-cis,6-trans-Farnesyl diphosphate <=> (-)-alpha-Cedrene + Diphosphate
R13312	geranyl diphosphate diphosphate lyase [(Z)-beta-ocimene-forming]	C00341	C22910 + C00013	C00341 <=> C22910 + C00013	geranyl diphosphate diphosphate lyase [(Z)-beta-ocimene-forming]; Geranyl diphosphate <=> (Z)-beta-Ocimene + Diphosphate	Geranyl diphosphate <=> (Z)-beta-Ocimene + Diphosphate
R13313	ent-copalyl-diphosphate diphosphate-lyase (cyclizing, ent-beyerene-forming)	C06089	C22911 + C00013	C06089 <=> C22911 + C00013	ent-copalyl-diphosphate diphosphate-lyase (cyclizing, ent-beyerene-forming); ent-Copalyl diphosphate <=> ent-Beyerene + Diphosphate	ent-Copalyl diphosphate <=> ent-Beyerene + Diphosphate
R13314	3-geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole cyclase (hapalindole U-forming)	C21837	C21973	C21837 <=> C21973	3-geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole cyclase (hapalindole U-forming); 3-Geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole <=> Hapalindole U	3-Geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole <=> Hapalindole U
R13317	N1-hydroxy-N1-succinylputrescine:N1-hydroxy-N1-succinylputrescine ligase	C00002 + C22914	C00020 + C00013 + C22913	2 C00002 + 2 C22914 <=> 2 C00020 + 2 C00013 + C22913	N1-hydroxy-N1-succinylputrescine:N1-hydroxy-N1-succinylputrescine ligase; 2 ATP + 2 N1-Hydroxy-N1-succinylputrescine <=> 2 AMP + 2 Diphosphate + Putrebactin	2 ATP + 2 N1-Hydroxy-N1-succinylputrescine <=> 2 AMP + 2 Diphosphate + Putrebactin
R13320	N1-hydroxy-N1-succinylcadaverine:N1-hydroxy-N1-succinylcadaverine ligase	C00002 + C22915	C00020 + C00013 + C22917	2 C00002 + 2 C22915 <=> 2 C00020 + 2 C00013 + C22917	N1-hydroxy-N1-succinylcadaverine:N1-hydroxy-N1-succinylcadaverine ligase; 2 ATP + 2 N1-Hydroxy-N1-succinylcadaverine <=> 2 AMP + 2 Diphosphate + Bisucaberin	2 ATP + 2 N1-Hydroxy-N1-succinylcadaverine <=> 2 AMP + 2 Diphosphate + Bisucaberin
R13321	(9Z,11E,13S)-13-hydroperoxy-9,11-octadecadienoate lyase	C04717	C22918 + C00001	C04717 <=> C22918 + C00001	(9Z,11E,13S)-13-hydroperoxy-9,11-octadecadienoate lyase; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid <=> (9Z,11E)-12-[(1E)-Hex-1-en-1-yloxy]dodeca-9,11-dienoic acid + H2O	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid <=> (9Z,11E)-12-[(1E)-Hex-1-en-1-yloxy]dodeca-9,11-dienoic acid + H2O
R13324	ferulate acetate-lyase (vanillin-forming)	C01494 + C00001	C00755 + C00033	C01494 + C00001 <=> C00755 + C00033	ferulate acetate-lyase (vanillin-forming); Ferulate + H2O <=> 4-Hydroxy-3-methoxy-benzaldehyde + Acetate	Ferulate + H2O <=> 4-Hydroxy-3-methoxy-benzaldehyde + Acetate
R13327	cyclohexane-1-carboxylate,ferredoxin:oxygen oxidoreductase (4-trans-hydroxylating)	C09822 + C00138 + C00007 + C00080	C04404 + C00139 + C00001	C09822 + 2 C00138 + C00007 + 2 C00080 <=> C04404 + 2 C00139 + C00001	cyclohexane-1-carboxylate,ferredoxin:oxygen oxidoreductase (4-trans-hydroxylating); Cyclohexane-1-carboxylate + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> trans-4-Hydroxycyclohexanecarboxylate + 2 Oxidized ferredoxin + H2O	Cyclohexane-1-carboxylate + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> trans-4-Hydroxycyclohexanecarboxylate + 2 Oxidized ferredoxin + H2O
R13330	17-dehydropreakuammicine hydrolase (decarboxylating)	C22922 + C00001	C22923 + C00132 + C00011	C22922 + C00001 <=> C22923 + C00132 + C00011	17-dehydropreakuammicine hydrolase (decarboxylating); 17-Dehydropreakuammicine + H2O <=> Norfluorocurarine + Methanol + CO2	17-Dehydropreakuammicine + H2O <=> Norfluorocurarine + Methanol + CO2
R13332	(19E)-cura-2(16),19-dien-17-al,[NADPH---hemoprotein reductase]:oxygen oxidoreductase (18-hydroxylating)	C22923 + C03024 + C00007	C22924 + C03161 + C00001	C22923 + C03024 + C00007 <=> C22924 + C03161 + C00001	(19E)-cura-2(16),19-dien-17-al,[NADPH---hemoprotein reductase]:oxygen oxidoreductase (18-hydroxylating); Norfluorocurarine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 18-Hydroxynorfluorocurarine + [Oxidized NADPH---hemoprotein reductase] + H2O	Norfluorocurarine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 18-Hydroxynorfluorocurarine + [Oxidized NADPH---hemoprotein reductase] + H2O
R13333	17,18-epoxy-17-hydroxycur-19-ene:NADP+ oxidoreductase	C22924 + C00005 + C00080	C22925 + C00006	C22924 + C00005 + C00080 <=> C22925 + C00006	17,18-epoxy-17-hydroxycur-19-ene:NADP+ oxidoreductase; 18-Hydroxynorfluorocurarine + NADPH + H+ <=> Wieland-Gumlich aldehyde + NADP+	18-Hydroxynorfluorocurarine + NADPH + H+ <=> Wieland-Gumlich aldehyde + NADP+
R13334	malonyl-CoA:17,18-epoxy-17-hydroxycur-19-ene N-malonyltransferase	C22925 + C00083	C22927 + C00010	C22925 + C00083 <=> C22927 + C00010	malonyl-CoA:17,18-epoxy-17-hydroxycur-19-ene N-malonyltransferase; Wieland-Gumlich aldehyde + Malonyl-CoA <=> Prestrychnine + CoA	Wieland-Gumlich aldehyde + Malonyl-CoA <=> Prestrychnine + CoA
R13335	acetyl-CoA:(19E)-17,18-epoxy-17-hydroxycur-19-ene N-acetyltransferase	C22925 + C00024	C22926 + C00010	C22925 + C00024 <=> C22926 + C00010	acetyl-CoA:(19E)-17,18-epoxy-17-hydroxycur-19-ene N-acetyltransferase; Wieland-Gumlich aldehyde + Acetyl-CoA <=> Diaboline + CoA	Wieland-Gumlich aldehyde + Acetyl-CoA <=> Diaboline + CoA
R13338	strychnine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase (10-hydroxylating)	C06522 + C03024 + C00007	C22929 + C03161 + C00001	C06522 + C03024 + C00007 <=> C22929 + C03161 + C00001	strychnine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase (10-hydroxylating); Strychnine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 10-Hydroxystrychnine + [Oxidized NADPH---hemoprotein reductase] + H2O	Strychnine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 10-Hydroxystrychnine + [Oxidized NADPH---hemoprotein reductase] + H2O
R13339	S-adenosyl-L-methionine:hydroxystrychnine O-methyltransferase	C22929 + C00019	C22930 + C00021	C22929 + C00019 <=> C22930 + C00021	S-adenosyl-L-methionine:hydroxystrychnine O-methyltransferase; 10-Hydroxystrychnine + S-Adenosyl-L-methionine <=> beta-Colubrine + S-Adenosyl-L-homocysteine	10-Hydroxystrychnine + S-Adenosyl-L-methionine <=> beta-Colubrine + S-Adenosyl-L-homocysteine
R13340	beta-colubrine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase (11-hydroxylating)	C22930 + C03024 + C00007	C22931 + C03161 + C00001	C22930 + C03024 + C00007 <=> C22931 + C03161 + C00001	beta-colubrine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase (11-hydroxylating); beta-Colubrine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11-Demethylbrucine + [Oxidized NADPH---hemoprotein reductase] + H2O	beta-Colubrine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11-Demethylbrucine + [Oxidized NADPH---hemoprotein reductase] + H2O
R13343	acetyl-CoA:stemmadenine O-acetyltransferase	C11691 + C00024	C22933 + C00010	C11691 + C00024 <=> C22933 + C00010	acetyl-CoA:stemmadenine O-acetyltransferase; Stemmadenine + Acetyl-CoA <=> Stemmadenine acetate + CoA	Stemmadenine + Acetyl-CoA <=> Stemmadenine acetate + CoA
R13344	stemmadenine acetate:oxygen oxidoreductase	C22933 + C00007	C22934 + C00027	C22933 + C00007 <=> C22934 + C00027	stemmadenine acetate:oxygen oxidoreductase; Stemmadenine acetate + Oxygen <=> Precondylocarpine acetate + Hydrogen peroxide	Stemmadenine acetate + Oxygen <=> Precondylocarpine acetate + Hydrogen peroxide
R13345	precondylocarpine acetate:NADP+ oxidoreductase	C22935 + C00006	C22934 + C00005 + C00080	C22935 + C00006 <=> C22934 + C00005 + C00080	precondylocarpine acetate:NADP+ oxidoreductase; Dihydroprecondylocarpine acetate + NADP+ <=> Precondylocarpine acetate + NADPH + H+	Dihydroprecondylocarpine acetate + NADP+ <=> Precondylocarpine acetate + NADPH + H+
R13346	dehydrosecodine cyclase (tabersonine-forming)	C22960	C09244	C22960 <=> C09244	dehydrosecodine cyclase (tabersonine-forming); Dehydrosecodine <=> Tabersonine	Dehydrosecodine <=> Tabersonine
R13347	dehydrosecodine cyclase (catharanthine-forming)	C22960	C09107	C22960 <=> C09107	dehydrosecodine cyclase (catharanthine-forming); Dehydrosecodine <=> Catharanthine	Dehydrosecodine <=> Catharanthine
R13348	17-dehydrostemmadenine:NADP+ 3(4)-oxidoreductase	C22937 + C00006	C22936 + C00005	C22937 + C00006 <=> C22936 + C00005	17-dehydrostemmadenine:NADP+ 3(4)-oxidoreductase; 17-Dehydrostemmadenine + NADP+ <=> 3,17-Didehydrostemmadenine + NADPH	17-Dehydrostemmadenine + NADP+ <=> 3,17-Didehydrostemmadenine + NADPH
R13349	stemmadenine:NADP+ 17-oxidoreductase	C11691 + C00006	C22937 + C00005 + C00080	C11691 + C00006 <=> C22937 + C00005 + C00080	stemmadenine:NADP+ 17-oxidoreductase; Stemmadenine + NADP+ <=> 17-Dehydrostemmadenine + NADPH + H+	Stemmadenine + NADP+ <=> 17-Dehydrostemmadenine + NADPH + H+
R13350	UDP-N-acetyl-alpha-D-glucosaminuronate carboxy-lyase	C04573	C22938 + C00011	C04573 <=> C22938 + C00011	UDP-N-acetyl-alpha-D-glucosaminuronate carboxy-lyase; UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate <=> UDP-N-acetyl-alpha-D-xylosamine + CO2	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate <=> UDP-N-acetyl-alpha-D-xylosamine + CO2
R13351	1'-carboxy-chondrochloren carboxy-lyase	C22941 + C00016	C22939 + C00011 + C01352	C22941 + C00016 <=> C22939 + C00011 + C01352	1'-carboxy-chondrochloren carboxy-lyase; 1'-Carboxy-chondrochloren A + FAD <=> Chondrochloren A + CO2 + FADH2	1'-Carboxy-chondrochloren A + FAD <=> Chondrochloren A + CO2 + FADH2
R13352	1'-carboxy-chondrochloren carboxy-lyase	C22942 + C00016	C22940 + C00011 + C01352	C22942 + C00016 <=> C22940 + C00011 + C01352	1'-carboxy-chondrochloren carboxy-lyase; 1'-Carboxy-chondrochloren B + FAD <=> Chondrochloren B + CO2 + FADH2	1'-Carboxy-chondrochloren B + FAD <=> Chondrochloren B + CO2 + FADH2
R13355	L-glutamine oxidoreductase/cyclase (3-amino-1,5-dihydropyridine-2,6-dione-forming)	C00002 + C00064 + C00007 + C00061	C00020 + C00013 + C22944 + C00001 + C01847	2 C00002 + 2 C00064 + C00007 + 2 C00061 <=> 2 C00020 + 2 C00013 + C22944 + 2 C00001 + 2 C01847	L-glutamine oxidoreductase/cyclase (3-amino-1,5-dihydropyridine-2,6-dione-forming); 2 ATP + 2 L-Glutamine + Oxygen + 2 FMN <=> 2 AMP + 2 Diphosphate + Indigoidine + 2 H2O + 2 Reduced FMN	2 ATP + 2 L-Glutamine + Oxygen + 2 FMN <=> 2 AMP + 2 Diphosphate + Indigoidine + 2 H2O + 2 Reduced FMN
R13356	S-adenosyl-L-methionine:ajmaline N-methyltransferase	C00019 + C06542	C00021 + C22945	C00019 + C06542 <=> C00021 + C22945	S-adenosyl-L-methionine:ajmaline N-methyltransferase; S-Adenosyl-L-methionine + Ajmaline <=> S-Adenosyl-L-homocysteine + 4-Methylajmaline	S-Adenosyl-L-methionine + Ajmaline <=> S-Adenosyl-L-homocysteine + 4-Methylajmaline
R13357	S-adenosyl-L-methionine:(2R,3R,5S)-2-(S-pantetheinyl)-carbapenam-3-carboxylate 6-C-methyltransferase	C22946 + C00019 + C00030	C22947 + C00021 + C05198 + C00073 + C00028	C22946 + 2 C00019 + C00030 <=> C22947 + C00021 + C05198 + C00073 + C00028	S-adenosyl-L-methionine:(2R,3R,5S)-2-(S-pantetheinyl)-carbapenam-3-carboxylate 6-C-methyltransferase; (2R,3R,5S)-2-(S-Pantetheinyl)-carbapenam-3-carboxylate + 2 S-Adenosyl-L-methionine + Reduced acceptor <=> (2R,3R,5S,6R)-6-(Methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + S-Adenosyl-L-homocysteine + 5'-Deoxyadenosine + L-Methionine + Acceptor	(2R,3R,5S)-2-(S-Pantetheinyl)-carbapenam-3-carboxylate + 2 S-Adenosyl-L-methionine + Reduced acceptor <=> (2R,3R,5S,6R)-6-(Methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + S-Adenosyl-L-homocysteine + 5'-Deoxyadenosine + L-Methionine + Acceptor
R13358	S-adenosyl-L-methionine:(2R,3R,5S,6R)-6-(methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate 6-C-methyltransferase	C22947 + C00019 + C00030	C22948 + C00021 + C05198 + C00073 + C00028	C22947 + 2 C00019 + C00030 <=> C22948 + C00021 + C05198 + C00073 + C00028	S-adenosyl-L-methionine:(2R,3R,5S,6R)-6-(methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate 6-C-methyltransferase; (2R,3R,5S,6R)-6-(Methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + 2 S-Adenosyl-L-methionine + Reduced acceptor <=> (2R,3R,5S,6R)-6-(Ethyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + S-Adenosyl-L-homocysteine + 5'-Deoxyadenosine + L-Methionine + Acceptor	(2R,3R,5S,6R)-6-(Methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + 2 S-Adenosyl-L-methionine + Reduced acceptor <=> (2R,3R,5S,6R)-6-(Ethyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + S-Adenosyl-L-homocysteine + 5'-Deoxyadenosine + L-Methionine + Acceptor
R13359	3-dehydrocarnitine:acetyl-CoA trimethylamine transferase	C02636 + C00024	C00164 + C22906	C02636 + C00024 <=> C00164 + C22906	3-dehydrocarnitine:acetyl-CoA trimethylamine transferase; 3-Dehydrocarnitine + Acetyl-CoA <=> Acetoacetate + Betaine-CoA	3-Dehydrocarnitine + Acetyl-CoA <=> Acetoacetate + Betaine-CoA
R13360	3-oxoadipate:acetyl-CoA acetyltransferase	C00846 + C00024	C00164 + C00091	C00846 + C00024 <=> C00164 + C00091	3-oxoadipate:acetyl-CoA acetyltransferase; 3-Oxoadipate + Acetyl-CoA <=> Acetoacetate + Succinyl-CoA	3-Oxoadipate + Acetyl-CoA <=> Acetoacetate + Succinyl-CoA
R13361	3,5-dioxohexanoate:acetyl-CoA acetone transferase	C01757 + C00024	C00164 + C00332	C01757 + C00024 <=> C00164 + C00332	3,5-dioxohexanoate:acetyl-CoA acetone transferase; Triacetate + Acetyl-CoA <=> Acetoacetate + Acetoacetyl-CoA	Triacetate + Acetyl-CoA <=> Acetoacetate + Acetoacetyl-CoA
R13362	acetyl-CoA:rhazimol O-acetyltransferase	C00024 + C22950	C00010 + C22951	C00024 + C22950 <=> C00010 + C22951	acetyl-CoA:rhazimol O-acetyltransferase; Acetyl-CoA + Rhazimol <=> CoA + Akuammiline	Acetyl-CoA + Rhazimol <=> CoA + Akuammiline
R13363	O-phospho-L-homoserine:L-cysteine S-(3-amino-3-carboxypropyl)transferase	C01102 + C00097	C02291 + C00009	C01102 + C00097 <=> C02291 + C00009	O-phospho-L-homoserine:L-cysteine S-(3-amino-3-carboxypropyl)transferase; O-Phospho-L-homoserine + L-Cysteine <=> L-Cystathionine + Orthophosphate	O-Phospho-L-homoserine + L-Cysteine <=> L-Cystathionine + Orthophosphate
R13364	[(2S,3R,4R)-4-(6-aminopurin-9-yl)-3-(hydroxymethyl)oxetan-2-yl]methyl phosphate phosphohydrolase	C22952 + C00001	C22953 + C00009	C22952 + C00001 <=> C22953 + C00009	[(2S,3R,4R)-4-(6-aminopurin-9-yl)-3-(hydroxymethyl)oxetan-2-yl]methyl phosphate phosphohydrolase; 4'-Phosphooxetanocin A + H2O <=> Oxetanocin A + Orthophosphate	4'-Phosphooxetanocin A + H2O <=> Oxetanocin A + Orthophosphate
R13365	[protein]-lanthionine hydrolase	C02189 + C02743	C22954 + C00001	C02189 + C02743 <=> C22954 + C00001	[protein]-lanthionine hydrolase; [Protein]-L-serine + [Protein]-L-cysteine <=> [Protein] with lanthionine crosslink + H2O	[Protein]-L-serine + [Protein]-L-cysteine <=> [Protein] with lanthionine crosslink + H2O
R13368	[protein]-(methyl)lanthionine hydrolase	C19803 + C02743	C22955 + C00001	C19803 + C02743 <=> C22955 + C00001	[protein]-(methyl)lanthionine hydrolase; [Protein]-L-threonine + [Protein]-L-cysteine <=> [Protein] with 3-methyllanthionine crosslink + H2O	[Protein]-L-threonine + [Protein]-L-cysteine <=> [Protein] with 3-methyllanthionine crosslink + H2O
R13371	trans,octacis-decaprenylphospho-beta-D-ribofuranose 5-phosphate phosphohydrolase	C20352 + C00001	C20368 + C00009	C20352 + C00001 <=> C20368 + C00009	trans,octacis-decaprenylphospho-beta-D-ribofuranose 5-phosphate phosphohydrolase; trans,octacis-Decaprenylphospho-beta-D-ribofuranose 5-phosphate + H2O <=> trans,octacis-Decaprenylphospho-beta-D-ribofuranose + Orthophosphate	trans,octacis-Decaprenylphospho-beta-D-ribofuranose 5-phosphate + H2O <=> trans,octacis-Decaprenylphospho-beta-D-ribofuranose + Orthophosphate
